Gene	Ensembl	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RBPMS	ENSG00000157110	317.9170355406	-0.4244073795	0.806167714	-0.5264504794	0.5985752504	0.9305156408
TRIM63	ENSG00000158022	28.6987182521	-0.7586054463	1.4413908554	-0.5263009984	0.5986790894	0.9305156408
ISCA2	ENSG00000165898	208.4936844926	0.4734349728	0.897963942	0.5272316077	0.5980327617	0.9305156408
TAF10	ENSG00000166337	688.9501060427	-0.3283564582	0.6233479388	-0.526762724	0.5983583717	0.9305156408
CLK3	ENSG00000179335	365.9486256823	0.4961480312	0.9368089559	0.529614953	0.5963789248	0.9305156408
SOCS3	ENSG00000184557	39.9223167834	-0.7054878758	1.3379670742	-0.5272834358	0.5979967753	0.9305156408
ATL3	ENSG00000184743	191.4337900025	-0.5388713508	1.0246784238	-0.5258931371	0.5989624575	0.9305156408
RPS26P11	ENSG00000196933	3.8150296735	0.3504289481	0.6623913328	0.5290361313	0.5967803857	0.9305156408
SCOC-AS1	ENSG00000196951	2.0566831998	-0.9134523322	1.7311185452	-0.5276659618	0.5977312021	0.9305156408
ZNF398	ENSG00000197024	68.4285973111	-0.7170269799	1.3634797958	-0.5258801649	0.5989714712	0.9305156408
IGF2R	ENSG00000197081	189.654304604	0.5314747927	1.0086547054	0.5269145029	0.598252962	0.9305156408
SHPK	ENSG00000197417	86.9587960544	-0.5100642348	0.9675011306	-0.5271975594	0.5980564033	0.9305156408
NOL8	ENSG00000198000	537.1240051154	-0.4193560233	0.7945822177	-0.5277692025	0.5976595352	0.9305156408
SMC5	ENSG00000198887	412.7936700388	-0.4683071894	0.8863524764	-0.528353225	0.5972541962	0.9305156408
RP11-571E6.3	ENSG00000203402	4.1207690014	0.4701477392	0.8942507281	0.5257448772	0.5990654785	0.9305156408
PSPHP1	ENSG00000226278	2.8135052208	0.7025993742	1.3340210135	0.5266778912	0.5984172913	0.9305156408
GATS	ENSG00000239521	85.3632852126	0.657784879	1.2426883701	0.5293240807	0.5965806535	0.9305156408
RN7SL531P	ENSG00000264071	1.4912577659	0.650331569	1.2318708827	0.5279218611	0.5975535709	0.9305156408
LINC01887	ENSG00000266602	22.5707819505	-0.6682917371	1.2684102629	-0.5268734862	0.5982814471	0.9305156408
COX10-AS1	ENSG00000236088	37.3745316686	-0.6946703467	1.3217425198	-0.5255716119	0.5991858851	0.9305995866
PKD1L1	ENSG00000158683	9.8775077896	1.0003053345	1.9039189036	0.5253928266	0.5993101392	0.9306894886
RSBN1	ENSG00000081019	61.0564463389	0.5447427956	1.0383172872	0.5246400136	0.5998334651	0.9307642872
OTX1	ENSG00000115507	22.2389415555	-0.7707507374	1.468967155	-0.5246888841	0.5997994859	0.9307642872
RFC3	ENSG00000133119	280.3216878676	-0.459129255	0.8746211648	-0.5249464265	0.599620434	0.9307642872
ATP13A3	ENSG00000133657	637.9731487226	0.4637011792	0.8832736709	0.5249801896	0.5995969625	0.9307642872
ZNF333	ENSG00000160961	18.4674543541	-0.9004914763	1.7150330909	-0.5250577853	0.5995430212	0.9307642872
ACER2	ENSG00000177076	19.0470124143	0.9435602491	1.7987661334	0.5245597143	0.5998892982	0.9307642872
MSL1	ENSG00000188895	99.2141713928	0.5053296507	0.9631070388	0.5246869043	0.5998008625	0.9307642872
PCSK6-AS1	ENSG00000259764	4.6564412115	-0.4597580233	0.8762675936	-0.5246776517	0.5998072956	0.9307642872
BLACE	ENSG00000204960	16.9897540953	0.433392771	0.8264462277	0.5244052867	0.5999966802	0.9308279065
WDR59	ENSG00000103091	107.7908415737	0.4614457953	0.8814656492	0.52349833	0.6006275129	0.9310747573
KMT5B	ENSG00000110066	186.0736838891	-0.5682042394	1.0856753157	-0.5233647953	0.6007204181	0.9310747573
TMEM263	ENSG00000151135	16.6155415043	-0.8127398119	1.5522026386	-0.5236041943	0.6005538637	0.9310747573
OXA1L	ENSG00000155463	969.4859050259	-0.3973317311	0.7592556571	-0.5233174456	0.6007533626	0.9310747573
RBPMS2	ENSG00000166831	708.9652853175	0.4196628929	0.8016668228	0.5234879142	0.6006347593	0.9310747573
PCMTD2	ENSG00000203880	115.2221947687	-0.5755123488	1.0990947459	-0.523623965	0.6005401097	0.9310747573
EIF4A1P7	ENSG00000235472	1.4888634084	-0.3852665344	0.735431999	-0.5238642525	0.6003729599	0.9310747573
COX19	ENSG00000240230	130.7576287167	-0.5383775424	1.0272973477	-0.524071773	0.6002286204	0.9310747573
RP11-259O2.3	ENSG00000249731	44.2592570073	0.4666294376	0.8908480385	0.5238036314	0.6004151274	0.9310747573
RP11-434N15.2	ENSG00000284294	6.080859352	0.48470027	0.9264969245	0.523153674	0.6008673165	0.9311484561
HMGCL	ENSG00000117305	103.8890086295	0.6616167723	1.2650004951	0.5230170066	0.6009624185	0.9311929275
AGAP4	ENSG00000188234	10.1582530663	0.5836351793	1.1165517108	0.5227121804	0.6011745607	0.9314187233
ZPR1	ENSG00000109917	791.9269553757	0.3677057132	0.7038811982	0.5223974076	0.6013936606	0.9316552478
CCNB2	ENSG00000157456	541.2296468523	-0.4867713644	0.9322788773	-0.5221306374	0.6015793762	0.9318390434
CENPP	ENSG00000188312	62.6351377016	-0.6358897549	1.2180953951	-0.522036088	0.6016452042	0.9318390434
PRDM2	ENSG00000116731	160.6646002691	-0.6069973062	1.1634740272	-0.5217110929	0.6018715	0.9320865869
RGP1	ENSG00000107185	106.734372043	0.5849113183	1.122737399	0.520968945	0.6023884051	0.9321070908
U2AF1	ENSG00000160201	28.9171069726	0.5991434817	1.1503330249	0.5208435025	0.6024757955	0.9321070908
INTS1	ENSG00000164880	461.0728837506	0.4726480783	0.9064912824	0.5214038872	0.6020854442	0.9321070908
RNF214	ENSG00000167257	103.8333096105	0.5960820902	1.1444778927	0.5208332061	0.6024829688	0.9321070908
HERC2P3	ENSG00000180229	58.3654010136	-0.5574125861	1.0701952076	-0.5208513196	0.6024703495	0.9321070908
ARL17A	ENSG00000185829	60.0586921868	0.5650899931	1.0848700707	0.5208826461	0.6024485252	0.9321070908
AL163953.3	ENSG00000237356	3.8035890403	0.9249106843	1.7745210249	0.5212170898	0.6022155503	0.9321070908
KRT18P54	ENSG00000250834	1.483136013	0.4174600938	0.8009886674	0.521181024	0.602240672	0.9321070908
CUX1	ENSG00000257923	81.8187671264	-0.679767505	1.3044075767	-0.5211312147	0.6022753674	0.9321070908
ZNF445	ENSG00000185219	126.5228242708	0.4511732382	0.8668451279	0.5204773306	0.6027309241	0.9323878377
HARS2	ENSG00000112855	191.6862339953	-0.6124182596	1.1776719258	-0.5200245044	0.603046496	0.9327731098
TMEM57	ENSG00000204178	87.9983417134	0.6147256515	1.1833025204	0.5194999933	0.6034121175	0.9332357036
NUDT19	ENSG00000213965	2.3612461246	-0.6087375293	1.1728758302	-0.5190127664	0.6037518387	0.9336581422
SNRPB	ENSG00000125835	2724.0564755181	-0.3068718839	0.5917944919	-0.5185446775	0.6040782967	0.9337523974
FRA10AC1	ENSG00000148690	109.909600955	0.4796974535	0.924751336	0.5187312901	0.6039481384	0.9337523974
ZNF490	ENSG00000188033	10.3591501953	-0.9029612018	1.7409025834	-0.5186741696	0.6039879774	0.9337523974
EPHB4	ENSG00000196411	81.7261370358	0.58709625	1.1322025678	0.5185434715	0.6040791378	0.9337523974
POLE2	ENSG00000100479	94.805421339	-0.6057331039	1.1684184963	-0.5184213583	0.604164316	0.9337811312
FAM200A	ENSG00000221909	99.1649209632	0.6721000331	1.2967666547	0.5182891083	0.604256571	0.9338207952
MKS1	ENSG00000011143	113.2658304718	-0.5928167154	1.1449403504	-0.5177708299	0.6046181728	0.9338907721
UBE2T	ENSG00000077152	829.7172087311	-0.3762640689	0.7272427455	-0.5173844239	0.6048878307	0.9338907721
RNF215	ENSG00000099999	2.5594282809	0.7903067939	1.5275199048	0.5173790479	0.6048915828	0.9338907721
TAF1A	ENSG00000143498	42.2816536262	0.6769727084	1.3073833307	0.517807358	0.6045926841	0.9338907721
AGAP1	ENSG00000157985	40.395551565	-0.6432407485	1.2433010737	-0.5173652321	0.6049012253	0.9338907721
PHLDA3	ENSG00000174307	724.2100385687	-0.4850110339	0.9370388481	-0.5175997077	0.6047375858	0.9338907721
KRBA2	ENSG00000184619	2.6853324819	-0.9800475134	1.8941181204	-0.5174162598	0.6048656116	0.9338907721
ZNF565	ENSG00000196357	4.4739725627	1.0352821835	1.9989717562	0.5179073593	0.6045229071	0.9338907721
GPANK1	ENSG00000204438	265.5378758487	0.4263174248	0.8230799329	0.5179538557	0.604490465	0.9338907721
RB1	ENSG00000139687	66.4179795952	0.6831890794	1.3208477467	0.5172352991	0.6049919136	0.9339279617
VPS36	ENSG00000136100	165.367065967	-0.4924731443	0.9523500117	-0.5171136014	0.6050768594	0.9339562796
ZMPSTE24	ENSG00000084073	547.6156114085	0.4746177317	0.9188074641	0.5165584198	0.6054644479	0.9343778281
RSRC2	ENSG00000111011	706.9903516396	-0.3706808419	0.7176345035	-0.5165315214	0.6054832293	0.9343778281
AK2	ENSG00000004455	1816.6683962692	-0.3091881066	0.5996419288	-0.5156212261	0.6061189824	0.9345795544
SLC1A5	ENSG00000105281	218.6507365304	-0.5862589847	1.1368052971	-0.515707471	0.6060587359	0.9345795544
CADM4	ENSG00000105767	2.1362542817	-0.8848017614	1.7142323332	-0.5161504332	0.6057493461	0.9345795544
DCAF17	ENSG00000115827	103.9866386829	0.5501571663	1.0684893632	0.5148925064	0.6066281376	0.9345795544
CCDC77	ENSG00000120647	157.0044914899	-0.5581480297	1.0836133238	-0.5150804419	0.6064968091	0.9345795544
DNAJC8	ENSG00000126698	1184.5890620849	-0.364541956	0.70756671	-0.5152050694	0.6064097269	0.9345795544
LSM8	ENSG00000128534	310.7476097583	0.3861091762	0.7497442894	0.5149878187	0.6065615322	0.9345795544
GDPD2	ENSG00000130055	189.2996015909	0.6684468675	1.2984142372	0.514817882	0.6066802884	0.9345795544
SAP130	ENSG00000136715	283.2521520836	-0.4984098733	0.9671813175	-0.5153220645	0.6063279829	0.9345795544
ANKRD52	ENSG00000139645	106.1934490121	0.6143013319	1.1918171263	0.5154325428	0.6062507968	0.9345795544
FXN	ENSG00000165060	447.4511886024	-0.393795941	0.7633209502	-0.5158982481	0.6059254777	0.9345795544
EIF1AX	ENSG00000173674	2016.4159777025	-0.3144674194	0.6095025843	-0.5159410764	0.6058955639	0.9345795544
CTDNEP1	ENSG00000175826	81.7845755969	0.4131160623	0.8017126302	0.5152919472	0.6063490253	0.9345795544
TOB2	ENSG00000183864	188.8741625274	0.4706853138	0.913823819	0.5150722754	0.6065025156	0.9345795544
LIN54	ENSG00000189308	178.5408083841	-0.501549854	0.9737559042	-0.5150673304	0.606505971	0.9345795544
ERVH48-1	ENSG00000233056	378.6193450855	-0.5538637076	1.0732482304	-0.5160630056	0.6058104049	0.9345795544
SSNA1	ENSG00000176101	660.3527318529	0.2853194881	0.5543560221	0.514686369	0.6067722002	0.9346131296
ZNF420	ENSG00000197050	33.3149403829	-0.65665336	1.2760561614	-0.5145959714	0.6068353808	0.9346131296
RP1-286D6.5	ENSG00000272150	1.6473618275	-0.5134539593	0.9982115701	-0.5143738809	0.6069906168	0.9347495519
POP4	ENSG00000105171	498.987597604	-0.3984646998	0.7749230292	-0.5141990686	0.6071128189	0.9348350785
LAS1L	ENSG00000001497	568.7729816456	0.4540729492	0.8983148632	0.5054719318	0.6132274077	0.9348456211
MYLIP	ENSG00000007944	86.7546257777	0.6943694381	1.3905680866	0.4993422794	0.6175382748	0.9348456211
CEP68	ENSG00000011523	137.1597828652	0.4786254729	0.9372144978	0.5106893609	0.6095685917	0.9348456211
TMSB10	ENSG00000034510	5302.399477798	0.3265862408	0.6394381908	0.5107393419	0.6095335886	0.9348456211
PHF23	ENSG00000040633	315.7497554126	0.4315264117	0.8484820408	0.5085863825	0.611042176	0.9348456211
PPP1R12A	ENSG00000058272	686.6706561191	0.4531514818	0.8881086098	0.5102433157	0.6098810094	0.9348456211
UHRF1BP1	ENSG00000065060	150.9335643315	-0.611863435	1.1983068705	-0.5106066318	0.6096265312	0.9348456211
NFYC	ENSG00000066136	576.1970204211	0.4256604292	0.8308446661	0.5123225154	0.60842531	0.9348456211
MPPED2	ENSG00000066382	4.3215274756	0.6430788817	1.2749052847	0.5044130646	0.6139711392	0.9348456211
ATP11A	ENSG00000068650	1474.0448785958	0.4377771765	0.8605561354	0.5087142588	0.6109525264	0.9348456211
CSNK2A2	ENSG00000070770	158.2769608956	0.4735812813	0.9478854754	0.4996186709	0.6173436086	0.9348456211
ATP2B1	ENSG00000070961	2009.309721647	0.3760936197	0.739682181	0.5084529942	0.6111356962	0.9348456211
ADAM11	ENSG00000073670	1.6417153363	1.0061017299	2.0003884247	0.5029531852	0.6149971867	0.9348456211
SEMA3C	ENSG00000075223	1.9767465778	0.6794863258	1.3598611163	0.4996733252	0.617305118	0.9348456211
CRYBG3	ENSG00000080200	1.6417153363	1.0061017299	2.0003884247	0.5029531852	0.6149971867	0.9348456211
NDC80	ENSG00000080986	237.0783010225	-0.5332701668	1.0416497081	-0.5119476948	0.6086876168	0.9348456211
ZNF324	ENSG00000083812	89.7974634614	0.6636561278	1.3145740394	0.5048449976	0.6136677083	0.9348456211
CTTN	ENSG00000085733	1413.5130979289	-0.3976569165	0.7852172862	-0.5064291419	0.612555421	0.9348456211
SLC4A11	ENSG00000088836	1524.2217095056	0.4679385134	0.9352850251	0.500316482	0.6168522504	0.9348456211
MLF2	ENSG00000089693	1252.6250779107	-0.368622722	0.7240010134	-0.5091466934	0.6106494046	0.9348456211
CDC45	ENSG00000093009	259.6401479712	0.5128046631	1.0095752138	0.5079410193	0.6114947069	0.9348456211
XBP1	ENSG00000100219	883.5363695979	-0.470422562	0.9177521727	-0.5125812567	0.6082442671	0.9348456211
RANGAP1	ENSG00000100401	1838.4553359904	0.3903771329	0.7698296968	0.5070954453	0.6120878507	0.9348456211
MYBL2	ENSG00000101057	8645.5919897133	0.2965316266	0.5939659095	0.4992401447	0.6176102164	0.9348456211
PXMP4	ENSG00000101417	116.7695249366	0.4306910997	0.8612220121	0.500093	0.6170095948	0.9348456211
FNDC3A	ENSG00000102531	87.6370281627	-0.6535311482	1.2863005905	-0.5080703165	0.6114040313	0.9348456211
POP1	ENSG00000104356	147.2967417289	0.5870689322	1.1710652169	0.5013119028	0.6161516296	0.9348456211
UBR5	ENSG00000104517	256.0681959831	0.4074745995	0.8122042166	0.5016898351	0.6158857158	0.9348456211
TFPT	ENSG00000105619	91.2120591977	0.5089193093	1.0093435737	0.5042082028	0.6141150767	0.9348456211
CHCHD2	ENSG00000106153	5187.8533914904	-0.2036296378	0.4030593761	-0.5052100258	0.6134113293	0.9348456211
PTCD1	ENSG00000106246	48.1493298591	0.4300964743	0.8536801564	0.5038145388	0.61439171	0.9348456211
STAG3L4	ENSG00000106610	165.8724994689	-0.6049940322	1.1796228893	-0.5128707129	0.6080417613	0.9348456211
ARHGAP21	ENSG00000107863	262.806947303	-0.4563107616	0.897951574	-0.5081685637	0.611335135	0.9348456211
RASD1	ENSG00000108551	8.0933516146	-0.9056483893	1.8004795163	-0.5030039948	0.6149614635	0.9348456211
CCKBR	ENSG00000110148	192.7906423438	-0.5343005684	1.0542604379	-0.5068013076	0.6122942388	0.9348456211
POU2AF1	ENSG00000110777	4.2778424293	0.5775878465	1.1530794448	0.5009089782	0.6164351835	0.9348456211
PPFIBP1	ENSG00000110841	93.2296969581	-0.5125132957	1.0094515562	-0.5077146026	0.6116535062	0.9348456211
PRDM4	ENSG00000110851	90.813924929	-0.585657859	1.1725712072	-0.4994646426	0.6174520894	0.9348456211
KRT18	ENSG00000111057	27189.6430240104	-0.2685745697	0.5304400982	-0.5063240328	0.6126291944	0.9348456211
KRR1	ENSG00000111615	309.2739526346	-0.4127240891	0.8201332067	-0.5032403099	0.6147953272	0.9348456211
NCOA7	ENSG00000111912	122.9385113898	-0.5718249366	1.1135733478	-0.5135045103	0.6075984566	0.9348456211
PEX7	ENSG00000112357	44.876541274	-0.6548919074	1.3090965668	-0.5002624894	0.6168902628	0.9348456211
NKTR	ENSG00000114857	546.0345359511	0.4208470923	0.8202754861	0.5130557958	0.6079122916	0.9348456211
USP34	ENSG00000115464	226.571142419	0.4699483767	0.9213869381	0.5100445397	0.6100202584	0.9348456211
EPAS1	ENSG00000116016	8.2642767115	0.7715918072	1.5480668952	0.4984227811	0.6181860832	0.9348456211
DHCR24	ENSG00000116133	5004.391928735	-0.3872629659	0.7579854899	-0.5109107906	0.609413525	0.9348456211
EBNA1BP2	ENSG00000117395	1995.7915690419	0.3439342582	0.6762810308	0.5085670639	0.6110557201	0.9348456211
RCN2	ENSG00000117906	953.4229206971	-0.3722343724	0.7460775516	-0.4989218233	0.6178344592	0.9348456211
RPL21	ENSG00000122026	6075.79995482	-0.1989058031	0.3913811443	-0.5082150889	0.6113025102	0.9348456211
ZC3H7A	ENSG00000122299	295.42529232	-0.4681421901	0.9252325934	-0.505972437	0.6128759993	0.9348456211
BBS9	ENSG00000122507	104.1029934566	0.5829746652	1.1537101859	0.5053042543	0.6133451552	0.9348456211
SMU1	ENSG00000122692	308.4446261407	-0.4479546303	0.8762610704	-0.5112113792	0.6092030515	0.9348456211
FASTKD3	ENSG00000124279	164.6027398129	0.5497487307	1.1029018296	0.4984566313	0.6181622296	0.9348456211
GPR18	ENSG00000125245	1.9571573837	-0.957114723	1.8958163198	-0.5048562527	0.6136598025	0.9348456211
GPR108	ENSG00000125734	377.5649669024	0.4838288069	0.9568272028	0.5056595438	0.6130956735	0.9348456211
BCL2L12	ENSG00000126453	399.5077117633	-0.3996557352	0.7932953131	-0.5037918774	0.6144076362	0.9348456211
GFER	ENSG00000127554	112.4905377136	-0.4478166454	0.895488457	-0.5000808687	0.6170181365	0.9348456211
ATF4	ENSG00000128272	1764.5871761572	-0.3355040576	0.6644610393	-0.5049266063	0.613610386	0.9348456211
ITFG1	ENSG00000129636	155.3686493997	0.5227190057	1.0219453657	0.511494081	0.609005132	0.9348456211
NXNL2	ENSG00000130045	1.8434053943	-0.9512390568	1.9022840631	-0.5000510046	0.617039164	0.9348456211
DPP6	ENSG00000130226	1.6420177553	0.9970280019	2.0002198023	0.4984592197	0.6181604057	0.9348456211
SLC27A1	ENSG00000130304	21.2295897775	0.5019398697	0.9974694768	0.5032132625	0.6148143413	0.9348456211
AFDN	ENSG00000130396	425.4029403138	-0.3776525757	0.7433898286	-0.5080141819	0.6114433975	0.9348456211
COL5A1	ENSG00000130635	1.6420177553	0.9970280019	2.0002198023	0.4984592197	0.6181604057	0.9348456211
FAM83F	ENSG00000133477	173.1241133561	0.5627651348	1.1071429016	0.5083039723	0.6112401847	0.9348456211
SPINK5	ENSG00000133710	1.7246855311	1.0164206146	2.0087948352	0.5059852787	0.6128669842	0.9348456211
MPHOSPH6	ENSG00000135698	225.1316709948	-0.4470005842	0.8922006047	-0.5010090577	0.6163647483	0.9348456211
CEP350	ENSG00000135837	296.7678553917	0.5141945916	1.0152584539	0.5064666929	0.6125290658	0.9348456211
IGF2BP3	ENSG00000136231	200.406634976	0.5142883188	1.01438711	0.5069941384	0.6121589314	0.9348456211
TXN	ENSG00000136810	4964.1620712563	-0.2565972547	0.5071720392	-0.505937305	0.6129006628	0.9348456211
ADCY3	ENSG00000138031	2.1291901038	-0.8860896874	1.726355895	-0.5132717361	0.6077612519	0.9348456211
THUMPD2	ENSG00000138050	64.3092684586	-0.5199923982	1.0306347563	-0.504536059	0.6138847295	0.9348456211
TARBP2	ENSG00000139546	505.4665741105	-0.402100124	0.8053852807	-0.499264307	0.6175931967	0.9348456211
MBNL2	ENSG00000139793	1.4257645725	-1.0165256353	2.0094583162	-0.5058704762	0.6129475795	0.9348456211
Sep-12	ENSG00000140623	2.3184437215	0.9240014885	1.834931951	0.5035617195	0.6145693986	0.9348456211
SS18	ENSG00000141380	407.1652329855	-0.4161544787	0.8344950067	-0.4986901963	0.6179976522	0.9348456211
ECM1	ENSG00000143369	2.053499546	1.006414304	2.0084463129	0.5010909664	0.6163071042	0.9348456211
GOLPH3L	ENSG00000143457	92.642118336	-0.5717344542	1.1465577336	-0.4986530006	0.6180238602	0.9348456211
DYNC1LI1	ENSG00000144635	327.3056865397	0.444658646	0.8776813774	0.5066287806	0.6124153104	0.9348456211
NDUFS6	ENSG00000145494	943.1142297402	0.3041584841	0.594742608	0.5114119621	0.6090626205	0.9348456211
FARS2	ENSG00000145982	80.2131166652	-0.6149588727	1.1977338448	-0.5134353307	0.6076468367	0.9348456211
ARMT1	ENSG00000146476	2841.6064632465	-0.3956783194	0.7804085674	-0.5070143204	0.6121447707	0.9348456211
ADGRA3	ENSG00000152990	26.0224117421	0.624354166	1.2282569723	0.5083253587	0.6112251889	0.9348456211
CHD1	ENSG00000153922	594.5908339444	0.4271226391	0.8422732363	0.5071069823	0.6120797561	0.9348456211
ANKH	ENSG00000154122	5.9520478889	0.9092743711	1.7904061195	0.5078592847	0.61155203	0.9348456211
FAM27C	ENSG00000154537	1.6414898933	1.0131949412	2.0002583772	0.5065320324	0.6124832085	0.9348456211
PDIA4	ENSG00000155660	453.3457901423	0.4877477938	0.9660602355	0.5048834181	0.6136407213	0.9348456211
TAB3	ENSG00000157625	73.3790532603	-0.6323914302	1.2397327702	-0.5101030201	0.6099792895	0.9348456211
EIF5B	ENSG00000158417	1770.1865971463	-0.2434254199	0.4772950966	-0.5100103095	0.6100442392	0.9348456211
CCAR2	ENSG00000158941	392.8130690272	-0.5002806286	0.9752349438	-0.5129847241	0.6079620064	0.9348456211
MIS18A	ENSG00000159055	315.9871615352	-0.4262563117	0.853625764	-0.4993479926	0.6175342507	0.9348456211
UBE2Z	ENSG00000159202	664.3157767879	-0.4268121755	0.8454152797	-0.5048550526	0.6136606455	0.9348456211
ARHGAP27	ENSG00000159314	18.0783802948	-0.7632102423	1.5113676294	-0.5049798788	0.6135729685	0.9348456211
CAMK2N1	ENSG00000162545	28.112326709	-0.6511461601	1.2968237093	-0.5021084635	0.6155912271	0.9348456211
AGL	ENSG00000162688	3811.9151009856	0.3491409625	0.6802526545	0.5132518927	0.6077751307	0.9348456211
KIAA1143	ENSG00000163807	254.5924354932	0.4255289153	0.8464113355	0.502744821	0.6151436929	0.9348456211
POC1A	ENSG00000164087	166.7488620109	-0.4955643811	0.9926034454	-0.499257164	0.6175982282	0.9348456211
ABCE1	ENSG00000164163	857.3541011202	-0.3995701673	0.7975270809	-0.5010114099	0.6163630929	0.9348456211
RPS14	ENSG00000164587	6781.1060843964	-0.2621582225	0.5129060886	-0.5111232414	0.6092647626	0.9348456211
CDYL2	ENSG00000166446	2.8288260151	-1.0027070574	2.0082975127	-0.4992821288	0.6175806433	0.9348456211
BEX3	ENSG00000166681	238.7294090727	0.4875744371	0.9715428245	0.5018558367	0.6157689328	0.9348456211
FAM96A	ENSG00000166797	1342.6913254223	-0.3269625614	0.6531547538	-0.5005897293	0.6166598922	0.9348456211
MBD6	ENSG00000166987	16.9557081349	-0.6398272442	1.2669239296	-0.5050242001	0.6135418388	0.9348456211
PDIA3	ENSG00000167004	3029.7243541248	-0.4412064511	0.8781276172	-0.5024400127	0.615358039	0.9348456211
CRK	ENSG00000167193	1181.899886729	0.423760969	0.8437569651	0.5022310766	0.6155049853	0.9348456211
GHDC	ENSG00000167925	1.7248037767	0.9985989995	1.9559527891	0.5105435086	0.6096707413	0.9348456211
LTBP3	ENSG00000168056	62.1866365984	-0.5961457829	1.1952787188	-0.4987504366	0.617955208	0.9348456211
PXK	ENSG00000168297	34.9900150715	0.6353132897	1.2638375637	0.5026858735	0.6151851432	0.9348456211
ELP5	ENSG00000170291	428.9978355873	-0.3740710915	0.7307192838	-0.5119217459	0.6087057782	0.9348456211
AKAP13	ENSG00000170776	211.4583704638	-0.5281790178	1.050170333	-0.5029460471	0.6150022054	0.9348456211
KYAT1	ENSG00000171097	147.6742005948	0.6083560217	1.2165188075	0.5000794217	0.6170191553	0.9348456211
EFCAB3	ENSG00000172421	3.5819399411	0.6262852012	1.2341952112	0.5074441997	0.6118431795	0.9348456211
ZNF791	ENSG00000173875	234.9372531158	0.461181679	0.922158322	0.5001111718	0.6169968002	0.9348456211
CTSF	ENSG00000174080	192.5558880144	0.7016305288	1.403784558	0.4998135396	0.617206376	0.9348456211
C16orf91	ENSG00000174109	288.5346496079	-0.4282142562	0.8342829291	-0.5132722261	0.6077609093	0.9348456211
PRPF8	ENSG00000174231	2133.4791328444	-0.3567153449	0.7077724231	-0.5039972359	0.6142633194	0.9348456211
PELI3	ENSG00000174516	4.870301151	0.9639206085	1.8937466579	0.5090018797	0.6107509066	0.9348456211
DENND6A	ENSG00000174839	71.7838847029	0.4886319983	0.9642650072	0.5067403615	0.6123370068	0.9348456211
RIMS2	ENSG00000176406	24.7620403047	0.4769262843	0.9295339398	0.5130810871	0.6078946007	0.9348456211
ZNF852	ENSG00000178917	6.7882602439	0.8078110473	1.5934752588	0.5069492248	0.6121904456	0.9348456211
CITED4	ENSG00000179862	1740.7243541526	0.387415588	0.7730310022	0.5011643607	0.6162554542	0.9348456211
DDX28	ENSG00000182810	221.0037131451	0.5294992911	1.0571882043	0.5008562231	0.6164723136	0.9348456211
NAA38	ENSG00000183011	308.9678628458	-0.3111215491	0.6124609615	-0.5079859267	0.6114632128	0.9348456211
KLHL25	ENSG00000183655	48.5722871065	0.6954733332	1.3871175586	0.5013802391	0.6161035444	0.9348456211
EFCAB10	ENSG00000185055	2.101287946	-0.982785703	1.9500552077	-0.5039783997	0.614276556	0.9348456211
ZBED6CL	ENSG00000188707	3.4713601793	-0.9710621745	1.9054462711	-0.5096245374	0.61031453	0.9348456211
CTSE	ENSG00000196188	83.0264293945	-0.9640097328	1.9289750197	-0.4997523156	0.6172494904	0.9348456211
GREB1	ENSG00000196208	22.8833139091	0.3374251157	0.6709059513	0.5029395179	0.6150067961	0.9348456211
SZT2	ENSG00000198198	59.9859507966	-0.5054249598	1.0046331027	-0.5030940733	0.6148981334	0.9348456211
LRBA	ENSG00000198589	396.6092763513	0.5074832809	1.0159601155	0.4995110272	0.6174194203	0.9348456211
MSRB1	ENSG00000198736	26.5606694793	-0.7263017814	1.4203382974	-0.511358303	0.6091001866	0.9348456211
AC004980.7	ENSG00000205485	28.9909718816	-0.661292981	1.3077253409	-0.5056818587	0.6130800056	0.9348456211
C5orf51	ENSG00000205765	194.275340161	-0.5216138024	1.0395545149	-0.5017666653	0.6158316641	0.9348456211
MT-TN	ENSG00000210135	8.2906437399	0.5141439318	1.0201024601	0.5040120497	0.6142529095	0.9348456211
KLHL23	ENSG00000213160	30.5587501321	-0.7562032845	1.4824696488	-0.5100969758	0.6099835238	0.9348456211
ARHGEF35	ENSG00000213214	7.3356930655	0.9976642332	1.946389778	0.5125716568	0.6082509838	0.9348456211
ARHGAP27P1-BPTFP1-KPNA2P3	ENSG00000215769	5.8394794428	0.4299314512	0.8478044351	0.5071115855	0.6120765265	0.9348456211
LINC00630	ENSG00000223546	4.4982224337	0.842243932	1.6803072414	0.5012440054	0.6161994077	0.9348456211
MIR34AHG	ENSG00000228526	54.7197740004	0.750462766	1.4944356804	0.5021713385	0.6155470023	0.9348456211
AC016700.6	ENSG00000231414	9.479786486	-0.2815369145	0.5549738569	-0.5072976159	0.6119460111	0.9348456211
LINC01198	ENSG00000231817	14.7142663984	-0.9080009022	1.7954958061	-0.5057104	0.6130599663	0.9348456211
PRAMEF6	ENSG00000232423	3.0352114853	-0.9571370607	1.9070644828	-0.5018902451	0.6157447275	0.9348456211
RNASEH2B-AS1	ENSG00000233672	3.1071723688	0.8519379112	1.6990351054	0.5014245488	0.6160723664	0.9348456211
